Expression,Reading,Meaning
苦い,にがい,bitter
沸く,わく,"to boil, to grow hot"
意見,いけん,"opinion, view, idea"
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely"
漫画,まんが,"comic (book), cartoon"
ステレオ,ステレオ,stereo
医学,いがく,medical science
テキスト,テキスト,text; text book
～月,～つき,month
折る,おる,"to snap, to break; to bend"
～会,～かい,~ meeting
うかがう,うかがう,to ask
聞こえる,きこえる,"to be heard, to be audible"
僕,ぼく,I
必ず,かならず,"surely, certainly"
壊す,こわす,"to break, to break down"
怒る,おこる,to get angry; to scold angrily
床屋,とこや,barber's (shop)
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
運動,うんどうする,exercise
止む,やむ,"to cease, to stop"
もし,もし,if
表,おもて,surface; front; outside
大学生,だいがくせい,"college student, university student"
運転手,うんてんしゅ,driver (by occupation)
予習,よしゅう,preparation of lessons (for class)
心配,しんぱいする,"worry, concern"
別,べつ,"distinction, different"
非常に,ひじょうに,extremely; very
お宅,おたく,(someone else's) house; home
柔らかい,やわらかい,"soft (in reference to texture), tender"
拾う,ひろう,"to pick up (something), to find"
～ございます,～ございます,"to be (polite), to exist"
気,き,"spirit, mood"
比べる,くらべる,to compare
ほとんど,ほとんど,"mostly, almost"
つもり,つもり,"intention, plan"
郊外,こうがい,"suburb, outskirts"
だめ,だめ,"useless, no good, hopeless"
売り場,うりば,place where things are sold
正月,しょうがつ,"New Year, New Year's Day"
規則,きそく,"rule, regulation"
うん,うん,"yes (informal), all right (ok)"
発音,はつおん,pronunciation
焼く,やく,"to bake, to grill"
屋上,おくじょう,rooftop
失礼,しつれい,"discourtesy, impoliteness; Excuse me"
ごみ,ごみ,"trash, garbage"
アフリカ,アフリカ,Africa
点,てん,"mark, score, grade; point, dot"
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort"
今度,こんど,"now, this time, near future, one of these days, next time"
機会,きかい,"chance, opportunity"
建てる,たてる,to build
複雑,ふくざつ,"complexity, complication"
彼,かれ,"he, boyfriend"
いらっしゃる,いらっしゃる,"honorific expression for iku, kuru, and iru"
布団,ふとん,futon
大事,だいじ,"important, valuable, serious matter"
贈り物,おくりもの,a gift; a present
泥棒,どろぼう,thief; burglar
～製,～せい,made in ~
注意,ちゅうい,"caution, attention"
台風,たいふう,typhoon
日,ひ,"sun, sunshine, day"
～軒,～けん,counter for houses
そう,そう,"really, (is that) so; yes, right"
