Orig,Reading,Verbs,Meaning
ひたす【浸す】,ひたす,浸す,"to soak, to dip, to drench"
わたす【渡す】,わたす,渡す,to hand over
みだす【乱す】,みだす,乱す,"to throw out of order, to disarrange, to disturb"
うつす【写す】,うつす,写す,to copy or photograph
うつす【移す】,うつす,移す,"to remove, to transfer, to infect"
うつす【映す】,うつす,映す,"to project, to reflect, to cast (shadow)"
おとす【落す】,おとす,落す,to drop
おどす【脅す】,おどす,脅す,"to threaten, to menace"
もどす【戻す】,もどす,戻す,"to restore, to put back, to return"
けなす【貶す】,けなす,貶す,to speak ill of
はなす【話す】,はなす,話す,to speak
はなす【離す】,はなす,離す,"to part, divide, separate"
はなす【放す】,はなす,放す,"to separate, to set free"
つぶす【潰す】,つぶす,潰す,"to smash, to waste"
こぼす【零す】,こぼす,零す,to spill
だます【騙す】,だます,騙す,"to trick, to cheat, to deceive"
しめす【示す】,しめす,示す,"to denote, to show, to point out, to indicate"
ためす【試す】,ためす,試す,"to attempt, to test"
しるす【記す】,しるす,記す,"to note, to write down"
つるす【吊す】,つるす,吊す,to hang
ゆるす【許す】,ゆるす,許す,"to permit, to allow, to approve, to forgive"
おろす【下す】,おろす,下す,"to lower, to let go down"
おろす【卸す】,おろす,卸す,"to sell wholesale, grated (vegetables)"
ころす【殺す】,ころす,殺す,to kill
こわす【壊す】,こわす,壊す,to break
まわす【回す】,まわす,回す,"to turn, to revolve"
そだつ【育つ】,そだつ,育つ,"to raise (child), to be brought up, to grow (up)"
たもつ【保つ】,たもつ,保つ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure"
うかぶ【浮ぶ】,うかぶ,浮ぶ,"to float, to rise to surface, to come to mind"
さけぶ【叫ぶ】,さけぶ,叫ぶ,"to shout, to cry"
はこぶ【運ぶ】,はこぶ,運ぶ,to transport
むすぶ【結ぶ】,むすぶ,結ぶ,"to tie, to bind, to link"
あそぶ【遊ぶ】,あそぶ,遊ぶ,"to play, to make a visit"
まなぶ【学ぶ】,まなぶ,学ぶ,"to study (in depth), to learn, to take lessons in"
およぶ【及ぶ】,およぶ,及ぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal"
えらぶ【選ぶ】,えらぶ,選ぶ,to choose
ならぶ【並ぶ】,ならぶ,並ぶ,"to line up, to stand in a line"
ころぶ【転ぶ】,ころぶ,転ぶ,"to fall down, to fall over"
つかむ【掴む】,つかむ,掴む,"to seize, to catch, to grasp"
いがむ【歪む】,いがむ,歪む,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant"
おがむ【拝む】,おがむ,拝む,"to worship, to beg, to make a supplication"
ふくむ【含む】,ふくむ,含む,"to hold in the mouth, to bear in mind"
めぐむ【恵む】,めぐむ,恵む,"to bless, to show mercy to"
はげむ【励む】,はげむ,励む,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort "
かこむ【囲む】,かこむ,囲む,"to surround, to encircle"
へこむ【凹む】,へこむ,凹む,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed"
かさむ【嵩む】,かさむ,嵩む,"to pile up, to increase"
にくむ【憎む】,にくむ,憎む,"to hate, to detest"
はさむ【挟む】,はさむ,挟む,"to interpose, to hold between, to insert"
きざむ【刻む】,きざむ,刻む,"to mince, to carve, to engrave"
おしむ【惜しむ】,おしむ,惜しむ,"to be frugal, to value, to regret"
きしむ【軋む】,きしむ,軋む,"to jar, to creak, to grate"
にじむ【滲む】,にじむ,滲む,"to run, to blur, to spread, to blot, to ooze"
かすむ【霞む】,かすむ,霞む,"to grow hazy, to be misty"
すすむ【進む】,すすむ,進む,to make progress
ぬすむ【盗む】,ぬすむ,盗む,to steal
やすむ【休む】,やすむ,休む,to rest
しずむ【沈む】,しずむ,沈む,"to sink, to feel depressed"
すずむ【涼む】,すずむ,涼む,"to cool oneself, to cool off, to enjoy evening cool"
はずむ【弾む】,はずむ,弾む,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to"
のぞむ【望む】,のぞむ,望む,"to desire, to wish for, to see, to command (a view of)"
のぞむ【臨む】,のぞむ,臨む,"to look out on, to face, to deal with, to attend (function)"
いたむ【痛む】,いたむ,痛む,"to hurt, to feel a pain, to be injured"
たたむ【畳む】,たたむ,畳む,to fold (clothes)
ねたむ【妬む】,ねたむ,妬む,"to be jealous, to be envious"
ちぢむ【縮む】,ちぢむ,縮む,"to shrink, to be contracted"
つつむ【包む】,つつむ,包む,to wrap
いどむ【挑む】,いどむ,挑む,"to challenge, to contend for, to make love to"
このむ【好む】,このむ,好む,"to like, to prefer"
たのむ【頼む】,たのむ,頼む,to ask (a favour)
はばむ【阻む】,はばむ,阻む,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart "
しぼむ【萎む】,しぼむ,萎む,"to wither, to fade (away), to shrivel, to wilt"
つまむ【摘む】,つまむ,摘む,"to pinch, to hold, to pick up"
